,games,name,country,continent,rank,time ,or_yes,or_no,wr_yes,wr_no
0,1992,Alexander Popov,RUS,ASIA,1,49.02,0,1,0,1
1,1992,Gustavo Borges,BRA,SOUTH AMERICA,2,49.43,0,1,0,1
2,1992,Stéphan Caron,FRA,EUROPE,3,49.50,0,1,0,1
3,1992,Jon Olsen,USA,NORTH AMERICA,4,49.51,0,1,0,1
4,1992,Matt Biondi,USA,NORTH AMERICA,5,45.53,0,1,0,1
5,1992,Tommy Werner,SWE,EUROPE,6,49.63,0,1,0,1
6,1992,Christian Tröger,GER,EUROPE,7,49.84,0,1,0,1
7,1992,Gennadiy Prigoda,RUS,ASIA,8,50.25,0,1,0,1
8,1996,Alexander Popov,RUS,ASIA,1,48.74,0,1,0,1
9,1996,"Gary Hall, Jr.",USA,NORTH AMERICA,2,48.81,0,1,0,1
10,1996,Gustavo Borges,BRA,SOUTH AMERICA,3,49.02,0,1,0,1
11,1996,Pieter van den Hoogenband,NED,EUROPE,4,49.13,0,1,0,1
12,1996,Fernando Scherer,BRA,SOUTH AMERICA,5,49.57,0,1,0,1
13,1996,Pavlo Khnykin,UKR,EUROPE,6,49.65,0,1,0,1
14,1996,Ricardo Busquets,PUR,NORTH AMERICA,7,49.68,0,1,0,1
15,1996,Francisco Sánchez,VEN,SOUTH AMERICA,8,49.84,0,1,0,1
16,2000,Pieter van den Hoogenband,NED,EUROPE,1,0,0,1,0,1
17,2000,Alexander Popov,RUS,ASIA,2,48.69,0,1,0,1
18,2000,"Gary Hall, Jr.",USA,NORTH AMERICA,3,48.73,0,1,0,1
19,2000,Michael Klim,AUS,OCEANIA,4,48.74,0,1,0,1
20,2000,Neil Walker,USA,NORTH AMERICA,5,49.09,0,1,0,1
21,2000,Lars Frölander,SWE,EUROPE,6,49.22,0,1,0,1
22,2000,Denis Pimankov,RUS,ASIA,7,49.36,0,1,0,1
23,2000,Chris Fydler,AUS,OCEANIA,8,49.44,0,1,0,1
24,2004,Pieter van den Hoogenband,NED,EUROPE,1,48.17,0,1,0,1
25,2004,Roland Mark Schoeman,ZAF,AFRICA,2,48.23,0,1,0,1
26,2004,Ian Thorpe,AUS,OCEANIA,3,48.56,0,1,0,1
27,2004,Ryk Neethling,ZAF,AFRICA,4,48.63,0,1,0,1
28,2004,Filippo Magnini,ITA,EUROPE,5,48.99,0,1,0,1
29,2004,Duje Draganja,CRO,EUROPE,6,19.23,0,1,0,1
30,2004,Salim Iles,ALG,AFRICA,7,49.30,0,1,0,1
31,2004,Andrey Kapralov,RUS,ASIA,7,49.30,0,1,0,1
32,2008,Alain Bernard,FRA,EUROPE,1,47.21,0,1,0,1
33,2008,Eamon Sullivan,AUS,OCEANIA,2,47.32,0,1,0,1
34,2008,Jason Lezak,USA,NORTH AMERICA,3,47.67,0,1,0,1
35,2008,César Cielo,BRA,SOUTH AMERICA,3,47.67,0,1,0,1
36,2008,Pieter van den Hoogenband,NED,EUROPE,5,47.75,0,1,0,1
37,2008,Lyndon Ferns,ZAF,AFRICA,6,48.04,0,1,0,1
38,2008,Matt Targett,AUS,OCEANIA,7,48.20,0,1,0,1
39,2008,Stefan Nystrand,SWE,EUROPE,8,48.33,0,1,0,1
40,2012,Nathan Adrian,USA,NORTH AMERICA,1,47.52,0,1,0,1
41,2012,James Magnussen,AUS,OCEANIA,2,47.53,0,1,0,1
42,2012,Brent Hayden,CAN,NORTH AMERICA,3,47.80,0,1,0,1
43,2012,Yannick Agnel,FRA,EUROPE,4,47.84,0,1,0,1
44,2012,Sebastiaan Verschuren,NED,EUROPE,5,47.88,0,1,0,1
45,2012,César Cielo,BRA,SOUTH AMERICA,6,47.92,0,1,0,1
46,2012,Hanser García,CUB,NORTH AMERICA,7,48.04,0,1,0,1
47,2012,Nikita Lobintsev,RUS,ASIA,8,48.44,0,1,0,1
48,2016,Kyle Chalmers,AUS,OCEANIA,1,47.58,0,1,0,1
49,2016,Pieter Timmers,BEL,EUROPE,2,47.80,0,1,0,1
50,2016,Nathan Adrian,USA,NORTH AMERICA,3,47.85,0,1,0,1
51,2016,Santo Condorelli,CAN,NORTH AMERICA,4,47.88,0,1,0,1
52,2016,Duncan Scott,GBR,EUROPE,5,48.01,0,1,0,1
53,2016,Caeleb Dressel,USA,NORTH AMERICA,6,48.02,0,1,0,1
54,2016,Cameron McEvoy,AUS,OCEANIA,7,48.12,0,1,0,1
55,2016,Marcelo Chierighini,BRA,SOUTH AMERICA,8,48.41,0,1,0,1
56,2021,Caeleb Dressel,USA,NORTH AMERICA,1,47.02,0,1,0,1
57,2021,Kyle Chalmers,AUS,OCEANIA,2,47.08,0,1,0,1
58,2021,Kliment Kolesnikov,RUS,ASIA,3,47.44,0,1,0,1
59,2021,Maxime Grousset,FRA,EUROPE,4,47.72,0,1,0,1
60,2021,Hwang Sun-woo,KOR,ASIA,5,47.82,0,1,0,1
61,2021,Alessandro Miressi,ITA,EUROPE,6,47.86,0,1,0,1
62,2021,David Popovici,ROM,EUROPE,7,48.04,0,1,0,1
63,2021,Nándor Németh,HUNGARU,EUROPE,8,48.10,0,1,0,1